check_id,check_type,target,expected,actual,status,severity,source,detected_on,resolved_on,resolution,notes,batch,record_ids,checksum,run_id,owner,active
INT-000001,three-record completion reconciliation,Batches 001-005,checkpoint + completed audit + verification log agree,22 source-file entries through Batch 005,PASS,critical,Drive authoritative records,2026-07-28,,,All trusted batches satisfy the current three-record rule.,5,[],,RECOVERY-001,Symbol Atlas,True
INT-000002,trust-boundary exclusion,Existing Master Database initial rows,only Batch 001-005 records active,Legacy Gothic rows explicitly marked excluded,PASS,high,Master Database normalization 2026-07-28,2026-07-28,2026-07-28,"Marked source, observation, and hypothesis excluded without deletion.",Legacy records remain preserved but inactive.,legacy,"[""SRC-AUTH-0001"",""OBS-AUTH-000001"",""HYP-AUTH-0001""]",,RECOVERY-002,Symbol Atlas,False
INT-000003,source normalization,Recovery Staging rows 1-22,22 permanent unique Source IDs linked to trusted Drive IDs,22 Sources rows appended; 22 staging rows linked,PASS,critical,Master Checkpoint + Verification Log + Completed Books Audit,2026-07-28,,,Source IDs SRC-000001 through SRC-000022 assigned in staged source order.,5,"[""SRC-000001..SRC-000022""]",,RECOVERY-002,Symbol Atlas,True
INT-000004,Batch 001 recovery,Trusted Batch 001 checkpoint,12 text-only observations + 5 visual-review queue items,12 observation rows prepared; 5 rescreen tasks prepared,PASS,high,Master Checkpoint Batch 001,2026-07-28,,,No visual geometry promoted from pending sources.,1,"[""OBS-000001..OBS-000012"",""QUE-000001..QUE-000005""]",,RECOVERY-002,Symbol Atlas,True
INT-000005,source observation recovery,SRC-000006,Recover all checkpoint-supported groups without inventing missing instance metadata,3 observation rows recovered; 9 raw visual instances represented,PASS,high,Master Checkpoint Batch 002,2026-07-28,,,Eight color-card instances are represented by one family row until individual payload data is re-read from visual evidence.,2,"[""OBS-000013"",""OBS-000014"",""OBS-000015""]",,RECOVERY-002,Symbol Atlas,True
INT-000006,source observation recovery,SRC-000007,Recover text-only historical context while excluding non-operative material from geometry correlations,5 observations + 5 meanings + 6 claims/contradictions; 0 geometry families,PASS,high,Master Checkpoint Batch 002 + fresh 24-page source recheck,2026-07-28,,,All 24 pages visually inspected; no diagrams or operative symbol plates. Documentary seal remains non-operative.,2,"[""OBS-000016..OBS-000020"",""MEAN-000001..MEAN-000005"",""CLM-000001..CLM-000006""]",,RECOVERY-003,Symbol Atlas,True
INT-000007,source observation recovery,SRC-000008,Recover five checkpoint-supported text-only groups with page-level provenance and no promoted geometry,5 observations + 6 meanings + 10 claims/corrections; 0 geometry families,PASS,high,Master Checkpoint Batch 002 + fresh 216-page source recheck,2026-07-28,,,All pages visually reviewed; cover/title decoration excluded. One checkpoint wording conflation recorded as CLM-000016.,2,"[""OBS-000021..OBS-000025"",""MEAN-000006..MEAN-000011"",""CLM-000007..CLM-000016""]",,RECOVERY-004,Symbol Atlas,True
INT-000008,column alignment validation,OBS-000009 and OBS-000020,All 30 observation fields aligned to schema headers,Two mechanically shifted rows fully repasted and revalidated,PASS,high,Master Database recovery validation,2026-07-28,2026-07-28,Replaced both malformed row payloads with complete 30-field records.,No evidentiary interpretation changed; this repaired storage alignment only.,recovery,"[""OBS-000009"",""OBS-000020""]",,RECOVERY-004,Symbol Atlas,False
INT-000009,source observation recovery,SRC-000009,Recover all 13 trusted visual figure groups and preserve four lineage-adjusted construction families,13 observations + 12 meanings + 14 claims/classifications + 4 lineages + 4 geometry families,PASS,critical,Master Checkpoint Batch 002 + fresh 89-page visual recheck,2026-07-28,,,All figure groups are modern instructional evidence from one source corpus. Raw count 13; lineage-adjusted principal families 4; no DNA variable promoted.,2,"[""OBS-000026..OBS-000038"",""MEAN-000012..MEAN-000023"",""CLM-000017..CLM-000030"",""LIN-000001..LIN-000004"",""GEO-000001..GEO-000004""]",,RECOVERY-005,Symbol Atlas,True
INT-000010,source metadata completion,SRC-000009 and STG-000009,Fill source author and page count from the downloaded PDF and reconcile staging page count,Author Walter Jantschik; 89 pages; staging pages_inspected 89,PASS,high,Downloaded source metadata and complete rendered-page inventory,2026-07-28,2026-07-28,Filled previously blank source metadata and replaced staging placeholder page count 0 with 89.,No evidentiary interpretation changed; this completes source metadata and visual-scope accounting.,2,"[""SRC-000009"",""STG-000009""]",,RECOVERY-005,Symbol Atlas,False
