geometry_id,name,description,primitive_geometry,construction_grammar,topology,symmetry,enclosure,axes,paths,numerology,component_count,cycle_count,lineage_ids,meaning_ids,representative_observation_ids,raw_instance_count,lineage_adjusted_count,status,confidence,provenance,notes,created_on,supersedes_id
GEO-000001,Modern cursive-angular Baphomet sigil family,"Elongated authorial sigils combining cursive loops, angular peaks, stars or circles, and terminal spirals.",curves; loops; sharp angles; zigzags; occasional pentagrams/stars; circles; terminal spirals,"construct one or a few predominantly left-to-right handwritten strokes; combine looped returns with angular peaks and optional detached star, dot, or text components",mostly connected calligraphic graph with occasional detached components,low or asymmetrical,none,dominant horizontal axis,left-to-right traversal with loop-backs and angular excursions,variable; no shared encoded count established,variable,variable loop cycles,"[""LIN-000001""]","[""MEAN-000012"",""MEAN-000013"",""MEAN-000015"",""MEAN-000016"",""MEAN-000018"",""MEAN-000020"",""MEAN-000021"",""MEAN-000022""]","[""OBS-000026"",""OBS-000027"",""OBS-000029"",""OBS-000030"",""OBS-000033"",""OBS-000035"",""OBS-000036"",""OBS-000037""]",8,1,provisional_visual_family,0.97,"SRC-000009 / PDF pages 31, 38, 44-45, 60, 64, 70, 76-77","One modern authorial source family. Embedded stars and repeated triangles remain components, not separate cross-tradition family evidence.",2026-07-28,
GEO-000002,Circle-band sigil sequence family,Linear rows of compact disconnected glyphs designed for placement between concentric ritual-circle boundaries.,short glyphs; crosses; circles; arrows; triangles; stars; letter-like marks,arrange many disconnected compact signs in one or more horizontal rows; assign the rows to annular spaces in a double or triple ritual circle,disconnected sequence network interpreted inside an external concentric enclosure,no global symmetry,double or triple circle supplied by adjacent instructions,horizontal row axes plus concentric-band context,serial left-to-right placement across rows,double or triple circle context; symbol counts vary,many,circle cycles external to the page sequence,"[""LIN-000002""]","[""MEAN-000014"",""MEAN-000018"",""MEAN-000019""]","[""OBS-000028"",""OBS-000032"",""OBS-000034""]",3,1,provisional_visual_family,0.99,"SRC-000009 / PDF pages 43, 59, 63",The glyph sequences are visible; the concentric boundaries are stated in adjacent instructions. Raw sequences remain separate while sharing one construction grammar.,2026-07-28,
GEO-000003,Conventional magical-symbol reference row,A horizontal set of separate conventional occult glyphs presented as a symbolic-method reference.,star-like; circular; triangular; cross-like; planetary-like glyphs,select multiple recognizable conventional forms and place them as an unconnected horizontal row,fully disconnected components,mixed local symmetries; no row-level symmetry,none,horizontal row axis,left-to-right reference order,approximately seven visible glyphs,approximately 7,variable local cycles,"[""LIN-000003""]","[""MEAN-000017""]","[""OBS-000031""]",1,1,provisional_visual_family,0.96,SRC-000009 / PDF page 50,The row is one source-level compilation. Historical provenance of each component requires independent sources before lineage promotion.,2026-07-28,
GEO-000004,Sigil-machine technical network schematic,A hybrid technical-occult diagram connecting a sigil insertion stage to labeled device components through wires and arrows.,rectangles; connectors; relay or switch; coil; ground symbol; arrows; labels,connect labeled components in a directed horizontal chain with a vertical terminal coil/ground branch and a dedicated sigil stage,connected directed technical network,functional rather than decorative symmetry,local component boxes,horizontal signal axis; vertical terminal branch,directed signal path through components,not applicable,multiple labeled components,coil cycle shown schematically,"[""LIN-000004""]","[""MEAN-000023""]","[""OBS-000038""]",1,1,provisional_visual_family,0.99,SRC-000009 / PDF page 83,"Only topology and visual structure are stored. Electrical values, winding counts, and operating instructions are intentionally omitted.",2026-07-28,
GEO-000005,Seax-Wica composite emblem,"A circular emblem combining an outer boundary, an overlapping crescent/lens partition, and a central eight-spoked solar wheel.",outer circle; overlapping circle/crescent; small eight-spoked wheel; hooked terminals,overlap circular fields to form a crescent partition; center an eight-spoked wheel in one field,connected nested circular and radial graph,radial symmetry locally; asymmetrical whole composition,complete outer circle with internal partition,central wheel axes and major diameters,closed circles plus eight radial spokes,eight spokes; paired Sun/Moon forms,multiple,multiple circular cycles,"[""LIN-000005""]","[""MEAN-000024""]","[""OBS-000039""]",1,1,provisional_visual_family,0.99,SRC-000010 / PDF page 3,Captioned modern Seax-Wica emblem; no ancient-artifact claim.,2026-07-28,
GEO-000006,Circular altar-placement field,"A bounded circular ritual layout partitioned semantically by the placement of deity figures, tools, substances, and officiant roles.",outer circle; labeled circular objects; sword line; book rectangle; horn and tool icons,"place paired deity figures in the upper field, central ritual substances in the middle, sword across the lower middle, book below, and roles outside the boundary",bounded field containing mostly disconnected positioned nodes,approximate bilateral organization,complete circular boundary,vertical centerline and horizontal sword axis,placement grammar rather than directed path,paired deities; repeated circular objects,many,one outer boundary cycle,"[""LIN-000006""]","[""MEAN-000026""]","[""OBS-000041""]",1,1,provisional_visual_family,0.99,SRC-000010 / PDF page 25,Representational objects matter because their relative placement defines the operative layout.,2026-07-28,
GEO-000007,Eight-sector calendrical wheel,A circular annual calendar divided by four principal axes and four diagonal radii into eight labeled seasonal sectors.,outer circle; eight radii; labels; dates; quadrant markers,"divide a circle into eight sectors and assign seasons, dates, and Sabbats around the perimeter",connected center-to-boundary radial network,fourfold axial and eightfold radial symmetry,complete circular boundary,"vertical, horizontal, and four diagonal axes",cyclic perimeter traversal through eight stations,eight sectors; four seasonal quadrants,9 principal line components plus labels,one outer cycle,"[""LIN-000006""]","[""MEAN-000027""]","[""OBS-000042""]",1,1,provisional_visual_family,0.99,SRC-000010 / PDF page 39,"Modern calendrical diagram related to, but geometrically distinct from, the Seax emblem.",2026-07-28,
GEO-000008,Anthropomorphic poppet construction and body map,"A paired before/after human-shaped diagram combining sewing boundaries, an open construction point, and symbolic body placements.",two human silhouettes; seam line; opening; facial marks; astrological signs; annotation arrows,"duplicate a body outline, sew around the perimeter while preserving an opening, then add identifying and symbolic placements",paired connected silhouettes with annotation edges,bilateral local body symmetry,body outlines provide local enclosure,vertical body axes and limb axes,construction sequence from blank pattern to marked form,paired silhouettes; bilateral limbs; repeated body zones,multiple,body-outline cycles interrupted by construction opening,"[""LIN-000007""]","[""MEAN-000028""]","[""OBS-000043""]",1,1,provisional_visual_family,0.99,SRC-000010 / PDF page 58,Stored as construction and body-map geometry; operational manipulation details excluded.,2026-07-28,
GEO-000009,Directed nine-node serpentine card layout,A three-column network of nine rectangular card nodes linked by a directed serpentine path.,nine rectangles; arrows; semantic labels,"place one Significator and eight cards in a descending, crossing, rising, crossing, then descending sequence",connected directed graph over a three-column grid,directionally asymmetrical,nine local rectangular enclosures; no outer boundary,three vertical column axes and two horizontal cross-links,Significator → 1 → 2 → 3 → 4 → 5 → 6 → 7 → 8,nine repeated nodes; directional arrows,9 nodes,0 global cycles,"[""LIN-000007""]","[""MEAN-000029""]","[""OBS-000044""]",1,1,provisional_visual_family,0.99,SRC-000010 / PDF page 65,Nine positions include the Significator plus eight numbered cards.,2026-07-28,
GEO-000010,Magical alphabet substitution-table representation,Tabular mappings between ordinary letter names or values and distinct esoteric replacement glyphs.,rows or columns of letter labels and disconnected glyphs,align each source alphabet entry with one replacement glyph; arrange mappings in one or more columns,disconnected mapping table,mixed local glyph symmetries,none,row and column axes,alphabetic or Hebrew-letter order,variable alphabet lengths; repeated label/glyph pairs,many glyph components,variable local cycles,"[""LIN-000009"",""LIN-000010"",""LIN-000011"",""LIN-000012""]","[""MEAN-000030""]","[""OBS-000045"",""OBS-000046"",""OBS-000047"",""OBS-000048""]",4,4,provisional_representation_family,0.98,SRC-000010 / PDF page 75,Shared table grammar does not collapse the four named script lineages into one historical lineage.,2026-07-28,
