observation_id,source_id,pdf_page,inspection,image_type,title,stated_purpose,tradition,likely_lineage,numerology,primitive_geometry,construction_grammar,spatial_arrangement,graph_connectivity,symmetry,enclosure,axes,paths,repeated_motifs,extraction_confidence,classification,lineage_weight,visual_evidence_ref,notes,authoritative_status,batch,record_version,supersedes_observation_id,source_claim_class,recovery_status
OBS-000001,SRC-000001,,text_only,textual ritual description,Magic Circle,Constructed and purified ritual enclosure; functions as a temple boundary.,modern witchcraft ritual practice,ritual-circle practice,,circle described in text; not visually measured,construct and purify boundary before ritual,practitioner operates within a bounded ritual field,,,described enclosure; no image inspected,,,,0.85,text_only_candidate,1,,Recovered from Batch 001 checkpoint. No visual geometry promoted.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_description,RECOVERED_FROM_CHECKPOINT
OBS-000002,SRC-000001,,text_only,textual tool description,Wax Pentacles,Temporary or destructible ritual tools.,modern witchcraft ritual practice,temporary pentacle/tool-sign practice,,not visually measured,form tool in wax for temporary ritual use,,,,,,,,0.8,text_only_candidate,1,,Recovered from Batch 001 checkpoint. Shape and page remain unresolved pending visual inspection.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_description,RECOVERED_FROM_CHECKPOINT
OBS-000003,SRC-000001,,text_only,textual process description,Temporary Tool Signs,Drawn immediately before consecration and removed afterward.,modern witchcraft ritual practice,ephemeral ritual-sign practice,,not visually measured,draw immediately before consecration; remove after use,,,,,,,temporary lifecycle,0.85,text_only_candidate,1,,Supports the methodological note that ephemeral symbols may be underrepresented in surviving artifacts.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_process,RECOVERED_FROM_CHECKPOINT
OBS-000004,SRC-000002,,text_only,text-described visualization,Pentagram and Three-Circle Protection Visualization,Protective containment around a centered practitioner.,modern eclectic spell practice,pentagram protection visualization,upright pentagram; three concentric circles,upright pentagram and three concentric circles described in text,visualize practitioner centered inside layered pentagram/circle field,centered body within nested circular boundaries and pentagram scaffold,,approximate fivefold star scaffold,three concentric boundaries,center-to-periphery organization,,three repeated circles,0.88,text_only_candidate,1,,Final geometry is not measured because the image layer remains uninspected.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_geometry_description,RECOVERED_FROM_CHECKPOINT
OBS-000005,SRC-000002,,text_only,text-described traced symbol,Air-Drawn Protection Pentagram,Protection and imagined glowing containment.,modern eclectic spell practice,air-traced pentagram practice,,upright pentagram described in text,trace pentagram with a wand and visualize it glowing,single traced figure in surrounding space,,fivefold form implied,,,wand-traced path,pentagram motif,0.88,text_only_candidate,1,,Trace order and exact starting point are unresolved pending source-level page recovery.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_process,RECOVERED_FROM_CHECKPOINT
OBS-000006,SRC-000002,,text_only,textual directional process,Four-Direction Purification,Purification using four coins in an ordered directional sequence.,modern eclectic spell practice,directional purification sequence,4 coins; four directions,,place or address four coins in ordered directional sequence,four cardinal positions,,cardinal organization,,West/North/East/South axes,West → North → East → South,four directional stations,0.92,text_only_candidate,1,,"Direction, count, and sequence are retained as separate variables.",VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_process,RECOVERED_FROM_CHECKPOINT
OBS-000007,SRC-000002,,text_only,text-based constructed sign,Diminishing-Letter Triangle SDPNQCN,Driving away evil.,modern eclectic spell practice,diminishing-letter triangular charm,seven-letter source reduced to one final letter,triangular text reduction,"write SDPNQCN, remove one leading letter per row, end at N",rows contract to a triangular text field,,approximate bilateral text triangle,,vertical taper axis,top-to-bottom deletion sequence,repeated suffix rows,0.95,text_only_candidate,1,,Construction grammar is textually explicit; final visual appearance still requires page verification.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_construction_grammar,RECOVERED_FROM_CHECKPOINT
OBS-000008,SRC-000002,,text_only,text-described ritual layout,Curse-Breaking Candle Pentagram,Curse breaking.,modern eclectic spell practice,candle-position pentagram layout,5 white candles + 1 black center candle,pentagram point layout with central node,place five white candles at star positions and one black candle at center,five peripheral nodes around one privileged center,,fivefold radial arrangement,no stated outer enclosure,center-to-point axes,,five repeated white perimeter candles,0.92,text_only_candidate,1,,"Geometry is described by placement, not visually measured.",VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_layout,RECOVERED_FROM_CHECKPOINT
OBS-000009,SRC-000002,,text_only,text-described visualization,Protective Fire Sphere,Protective enclosure around the body.,modern eclectic spell practice,spherical protection visualization,,sphere described in text,visualize a luminous fire sphere around the body,body centered inside a spherical boundary,,radial/spherical,complete spherical enclosure implied,center-to-boundary axes,,,0.9,text_only_candidate,1,,No visual figure inspected; stored as a spatial description only.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_geometry_description,RECOVERED_FROM_CHECKPOINT
OBS-000010,SRC-000002,,text_only,textual movement path,Clockwise House Purification Path,Purify a house through ordered movement.,modern eclectic spell practice,clockwise circumambulation/purification,,path around a house or rooms described in text,move clockwise through the house,ordered traversal of a domestic boundary,,rotational direction: clockwise,house boundary implied,,clockwise traversal,repeated directional movement,0.9,text_only_candidate,1,,Exact start point and route remain unresolved.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_process,RECOVERED_FROM_CHECKPOINT
OBS-000011,SRC-000002,,text_only,textual knot sequence,Nine-Knot Prosperity Cord,Prosperity.,modern eclectic spell practice,knot-magic sequence,9 knots on a 13-inch cord,,tie a nine-knot sequence on a thirteen-inch cord,linear cord with repeated knot stations,,linear repetition,,longitudinal cord axis,ordered knotting sequence,nine repeated knots,0.94,text_only_candidate,1,,Numerology and physical length are retained independently from purpose.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_process,RECOVERED_FROM_CHECKPOINT
OBS-000012,SRC-000002,,text_only,textual rotational process,Counterclockwise Bottle-Sealing Rotation,Seal or close a bottle-based working.,modern eclectic spell practice,counterclockwise sealing practice,,circular rotation described in text,rotate counterclockwise during bottle sealing,rotation around a container,,rotational direction: counterclockwise,bottle/container boundary implied,container center axis,counterclockwise rotation,,0.9,text_only_candidate,1,,Exact number of turns is unresolved.,VERIFIED_WITH_PENDING_VISUAL,1,1,,textual_process,RECOVERED_FROM_CHECKPOINT
OBS-000013,SRC-000006,,visually_inspected,text-based triangular reduction seal,Diminishing ABRACADABRA Seal,Debt reduction / banishment as stated in the source.,modern eclectic ritual workbook,ABRACADABRA diminishing-word charm lineage,11 rows tapering from ABRACADABRA to A,triangular text field,write full word; remove one terminal letter per successive row until one letter remains,stacked rows contract toward a single terminal letter,,approximate bilateral text triangle,,vertical taper axis,top-to-bottom reduction sequence,repeated nested word suffixes,0.97,verified_visual_group,1,,Recovered from Batch 002 checkpoint after all 25 pages were rendered. Exact page must be restored from visual evidence during page-level migration.,VERIFIED,2,1,,visual_observation_group,RECOVERED_FROM_CHECKPOINT
OBS-000014,SRC-000006,,visually_inspected,card family / replaceable-payload diagram,Color Telepathy Card Family,Telepathy or color/label transmission exercise.,modern eclectic ritual workbook,replaceable-payload card-template family,8 raw card instances; lineage-adjusted family count 1,rectangle containing centered circle,reuse one card template while replacing color and label payload,eight separate rectangular cards sharing the same centered-circle scaffold,,bilateral/radial local symmetry,each card rectangle is a local enclosure; centered circle is an inner enclosure,vertical and horizontal card axes,,eight repeated template instances,0.96,verified_visual_family,0.125,,One family-level row represents eight raw visual instances because the checkpoint does not preserve each card’s individual color/label payload.,VERIFIED,2,1,,visual_family_group,RECOVERED_FROM_CHECKPOINT
OBS-000015,SRC-000006,,text_only,textual enclosure-use group,Circles Enclosing Names,"Binding, protection, completion, separation, and healing are all described as uses of name-enclosing circles.",modern eclectic ritual workbook,name-enclosure circle practice,"multiple stated purposes; construction materials include chalk, salt, and visualization",circle described in text,"place a name within a circle; construct by chalk, salt, or visualization",semantic payload inside a bounded circular field,,radial/circular,complete enclosure described,center-to-boundary organization,,circle repeated across multiple purposes and materials,0.88,text_only_candidate,1,,Purpose and construction medium are retained as separate variables; no universal meaning is inferred.,VERIFIED,2,1,,textual_usage_group,RECOVERED_FROM_CHECKPOINT
OBS-000016,SRC-000007,3,visually_inspected/text_only,quoted textual initiation reference,Received into the Circle,Admission/initiation into an asserted priestly lineage and receipt of esoteric learning.,modern Wiccan historiography,quoted Gardnerian initiation-language context,,circle named but not depicted or measured,none; phrase used as initiation/admission language,,,,metaphorical or ritual membership boundary; no visual enclosure,,admission into the circle,,0.99,historical_textual_context,1,PDF page 3 / printed page 4,Quoted Gardner passage presented inside a historical-critical discussion. Do not treat it as proof of ancient continuity or measurable circle geometry.,VERIFIED,2,1,,quoted_historical_claim,SOURCE_RECHECKED_TEXT_ONLY
OBS-000017,SRC-000007,10,visually_inspected/text_only,textual symbolic attribution,Isis as Symbolic Personification,Represent the long-denied female component of deity within the author's summary of an occultist viewpoint.,modern occult historiography,authorial summary of occult symbolic interpretation,,no visual form described,name/personification assigned a symbolic referent,,,,,,,,0.98,textual_symbolic_attribution,1,PDF page 10 / printed page 11,Source-scoped attribution only. It is not treated as a universal meaning of Isis or as evidence of a specific geometry.,VERIFIED,2,1,,authorial_framework_claim,SOURCE_RECHECKED_TEXT_ONLY
OBS-000018,SRC-000007,10,visually_inspected/text_only,textual symbolic attribution,Horned-God Set and Satan Symbol Group,Represent unconscious or repressed sexuality within the author's summary of an occultist viewpoint.,modern occult historiography,"authorial summary grouping Pan, the Horned God, Set, and Satan",,no visual form described,multiple named figures grouped under one interpretive meaning,,,,,,,four named symbolic figures grouped in prose,0.98,textual_symbolic_attribution_group,0.25,PDF page 10 / printed page 11,"Grouped textual claim, not four independent traditions or geometries. Lineage weight is reduced to avoid treating one prose assertion as four independent examples.",VERIFIED,2,1,,authorial_framework_claim,SOURCE_RECHECKED_TEXT_ONLY
OBS-000019,SRC-000007,10,visually_inspected/text_only,textual paired-symbol attribution,White and Black Pillars,Represent balance between conscious and unconscious forces.,Freemasonry and High Magick as summarized by the author,paired-pillar balance symbolism,,paired pillars named but not depicted,interpretive opposition assigned to a two-part symbolic pair,paired binary structure described in prose,,bilateral opposition implied but not visually measured,,vertical pillar axes implied,,paired White/Black pillars,0.99,textual_symbolic_attribution,1,PDF page 10 / printed page 11,No pillar image appears in the source. Retained as source-scoped semantic context only.,VERIFIED,2,1,,authorial_framework_claim,SOURCE_RECHECKED_TEXT_ONLY
OBS-000020,SRC-000007,15-16,visually_inspected/text_only,documentary seal reference,OTO Charter Signature and Seal,Authenticate or witness a charter document; not presented as an operative magical diagram.,Thelemic/OTO documentary history,documentary seal and signature practice,,seal referenced in prose; small typed seal notation only,signature and seal appended to charter text,seal notation follows the charter body,,,,,document-signing line,signature and seal formula,0.99,documentary_nonoperative_symbol,1,PDF pages 15-16 / printed pages 16-17,The source discusses Crowley's signature and seals as documentary authentication. Excluded from operative-geometry correlations.,VERIFIED,2,1,,documentary_context,SOURCE_RECHECKED_TEXT_ONLY
OBS-000021,SRC-000008,32,visually_inspected/text_only,textual protective-vessel tradition,Runes Carved into Drinking Cups,Protect the bearer from poisoning and reveal treachery by shattering the cup or changing the beverage color.,Norse legend as reported in a modern witchcraft beverage manual,rune-inscribed protective vessel tradition,,runes named but not shown; drinking vessel described,carve runes into a cup as a protective inscription,inscription applied to a portable vessel,,,vessel boundary implied,,"rune inscription repeated around or upon vessel, exact placement unstated",,0.99,historical_textual_context,1,PDF page 32 / printed page 34,The author explicitly presents this as a Norse legendary example. No rune forms or vessel diagram are shown.,VERIFIED,2,1,,quoted_historical_tradition,SOURCE_RECHECKED_TEXT_ONLY
OBS-000022,SRC-000008,33,visually_inspected/text_only,textual vessel-shape correspondence,Womb-Like and Squared Drinking Vessels,Womb-like cups are associated with the Goddess; squared-off vessels are suggested for stronger alignment with the God aspect.,modern eclectic witchcraft correspondence system,vessel-shape deity correspondence,,rounded or womb-like vessel versus squared-off vessel; no figure shown,select vessel shape according to desired deity alignment,binary contrast between rounded/womb-like and squared forms,,bilateral/local vessel symmetry not measured,vessel itself functions as container,,,paired contrasting vessel-shape classes,0.99,textual_shape_correspondence,1,PDF page 33 / printed page 35,The source does not associate squared vessels with Earth here. Earth appears separately in the Winter/Earth/North seasonal framework.,VERIFIED,2,1,,authorial_correspondence_claim,SOURCE_RECHECKED_TEXT_ONLY
