staging_id,batch,source_title,drive_file_id,evidence_status,pages_inspected,visual_records,text_only_records,duplicate_lineage,authoritative_status,next_action,notes,checkpoint_present,verification_log_present,completed_audit_present,recovery_status,source_id_assigned,migration_notes,reviewed_on,raw_source_ref
STG-000001,1,12th Generation Book of Shadows,1lgV71Z2EZPIbUQc0KNC61pSq5UPg_nCa,text_only_reference,0,0,3,none assigned,VERIFIED_WITH_PENDING_VISUAL,Full visual inspection,Initial screening only,True,True,True,SOURCE_NORMALIZED; TEXT_OBSERVATIONS_RECOVERED; RESCREEN_QUEUED,SRC-000001,Permanent Source ID assigned; Batch 001 text-only observations recovered from checkpoint.,2026-07-28,Master Checkpoint Batch 1 + Completed Books Audit
STG-000002,1,50 of the Most Powerful Spells on Earth,1Emkrg5QSwBqAUsmUWgZSYIdHSL8XZ6hM,text_only_reference,0,0,9,none assigned,VERIFIED_WITH_PENDING_VISUAL,Inspect image layer,No visual measurements promoted,True,True,True,SOURCE_NORMALIZED; TEXT_OBSERVATIONS_RECOVERED; RESCREEN_QUEUED,SRC-000002,Permanent Source ID assigned; Batch 001 text-only observations recovered from checkpoint.,2026-07-28,Master Checkpoint Batch 1 + Completed Books Audit
STG-000003,1,A Charmed Life,1wvprxS_XAda3FM_vvyIZpyRNWsPruSS-,metadata_only,0,0,0,none assigned,VERIFIED_WITH_PENDING_VISUAL,Targeted visual pass,Modern Wiccan practice manual,True,True,True,SOURCE_NORMALIZED; RESCREEN_QUEUED,SRC-000003,Permanent Source ID assigned; no observation promoted until required visual work.,2026-07-28,Master Checkpoint Batch 1 + Completed Books Audit
STG-000004,1,A Manual of African Witchcraft and Brujeria,1K31Uzc6yJpxKpWzrTfT0GwkwvcQ9-Q6P,blocked,0,0,0,none assigned,VERIFIED_WITH_PENDING_VISUAL,Raw-file visual inspection,Searchable text unavailable,True,True,True,SOURCE_NORMALIZED; RESCREEN_QUEUED,SRC-000004,Permanent Source ID assigned; no observation promoted until required visual work.,2026-07-28,Master Checkpoint Batch 1 + Completed Books Audit
STG-000005,1,A Popular History of Witchcraft,1wsXbsO4NkzidKuShonRy75wnLLbrzNHu,text_only_reference,0,0,0,historical plate queue,VERIFIED_WITH_PENDING_VISUAL,Historical illustration pass,No geometry promoted,True,True,True,SOURCE_NORMALIZED; RESCREEN_QUEUED,SRC-000005,Permanent Source ID assigned; no observation promoted until required visual work.,2026-07-28,Master Checkpoint Batch 1 + Completed Books Audit
STG-000006,2,"A Sporadic Journal of Activities, Spells, and Words",1NsgsMSkTOIc5JUlZMPAKcWWS06rc08aH,visually_inspected,25,9,5,2 principal families,VERIFIED,None,ABRACADABRA seal plus 8-card family,True,True,True,SOURCE_NORMALIZED; OBSERVATIONS_RECOVERED,SRC-000006,Three checkpoint-level observation records recovered in source order; nine raw visual instances represented without inventing missing card payloads.,2026-07-28,Master Checkpoint Batch 2 + Completed Books Audit
STG-000007,2,A True History of Witchcraft,1d5GlEN4DZ9Svn05d3E4EwU0Uyxyz3Bsp,visually_inspected/text_only_reference,24,0,3,none,VERIFIED,None,No operative figure,True,True,True,SOURCE_NORMALIZED; OBSERVATIONS_MEANINGS_CLAIMS_RECOVERED,SRC-000007,"Five text-only/context observations, five source-scoped meanings, and six claims/contradictions recovered after a fresh 24-page visual and textual recheck. No geometry promoted.",2026-07-28,Master Checkpoint Batch 2 + Completed Books Audit
STG-000008,2,A Witch’s Beverages and Brews,1hMMDag39Krzj1vhilsbrbxfKS89woBfd,visually_inspected/text_only_reference,216,0,5,none,VERIFIED,None,Cover/title decoration excluded,True,True,True,SOURCE_NORMALIZED; OBSERVATIONS_MEANINGS_CLAIMS_RECOVERED_CORRECTION_RECORDED,SRC-000008,"Five text-only observation groups, six meanings, and ten claims/corrections recovered after a fresh 216-page visual and textual recheck. The checkpoint's squared-vessel Earth/God shorthand was separated into the source-supported God-aspect vessel claim and the distinct Winter/Earth/North correspondence.",2026-07-28,Master Checkpoint Batch 2 + Completed Books Audit
STG-000009,2,Baphomet Magie,1pQ-XVE2zMMPTloh5e7rFqMc31mO-0UNo,visually_inspected,89,13,0,4 provisional families,VERIFIED,None,Modern instructional source,True,True,True,SOURCE_NORMALIZED; OBSERVATIONS_LINEAGES_GEOMETRY_MEANINGS_CLAIMS_RECOVERED,SRC-000009,Thirteen verified visual groups normalized into four lineages and four geometry families after a fresh 89-page recheck. Modern instructional provenance retained; no DNA variable promoted.,2026-07-28,Master Checkpoint Batch 2 + Completed Books Audit
STG-000010,2,Buckland’s Book of Saxon Witchcraft,1JaTuUf8UuqoX11f3A9kT1as9Jbs4qc_N,visually_inspected,88,14,0,alphabet and rune families,VERIFIED,None,Raw scan reviewed,True,True,True,SOURCE_NORMALIZED; OBSERVATIONS_LINEAGES_GEOMETRY_MEANINGS_CLAIMS_RECOVERED,SRC-000010,Fourteen principal visual groups normalized after a fresh 88-page recheck. Danish and Swedish-Norse retained as one two-part Scandinavian plate; early Saxon and appendix Anglo-Saxon retained as two witnesses in one Futhorc lineage.,2026-07-28,Master Checkpoint Batch 2 + Completed Books Audit
