source_id,catalog_index,title,author,drive_file_id,pages,screening_status,inspection_scope,source_type,lineage_family,duplicate_family,screened_on,notes,authoritative_status,batch,record_version,supersedes_source_id,structured_recovery_complete,snapshot_role
SRC-000001,provisional-001,12th Generation Book of Shadows,,1lgV71Z2EZPIbUQc0KNC61pSq5UPg_nCa,,text_only_reference,Batch 1 searchable-text screening; visual inspection pending,book/PDF,modern witchcraft ritual manual,none assigned,2026-07-27,Three text-only findings recovered; no visual geometry promoted.,VERIFIED_WITH_PENDING_VISUAL,1,1,,True,structured_recovered
SRC-000002,provisional-002,50 of the Most Powerful Spells on Earth,,1Emkrg5QSwBqAUsmUWgZSYIdHSL8XZ6hM,,text_only_reference,Batch 1 searchable-text screening; image layer pending,book/PDF,modern eclectic spell manual,none assigned,2026-07-27,Nine text-only candidate observations recovered; final geometry remains unmeasured.,VERIFIED_WITH_PENDING_VISUAL,1,1,,True,structured_recovered
SRC-000003,provisional-003,A Charmed Life,,1wvprxS_XAda3FM_vvyIZpyRNWsPruSS-,,metadata_only,Source-level screening; targeted symbol search and visual pass pending,book/PDF,modern Wiccan daily-practice manual,none assigned,2026-07-27,No discrete symbol-bearing figure promoted from accessible opening section.,VERIFIED_WITH_PENDING_VISUAL,1,1,,True,structured_recovered
SRC-000004,provisional-004,A Manual of African Witchcraft and Brujeria,,1K31Uzc6yJpxKpWzrTfT0GwkwvcQ9-Q6P,,blocked,Searchable text unavailable; raw-file visual inspection required,book/PDF,unresolved; preserve named traditions separately,none assigned,2026-07-27,No claims promoted. Cultural lineages must not be collapsed into one category.,VERIFIED_WITH_PENDING_VISUAL,1,1,,True,structured_recovered
SRC-000005,provisional-005,A Popular History of Witchcraft,,1wsXbsO4NkzidKuShonRy75wnLLbrzNHu,,text_only_reference,Text screened; historical illustration pass pending,book/PDF,historical witchcraft survey,historical plate queue,2026-07-27,"Plates require classification as artifact, reproduction, reconstruction, or decorative narrative image.",VERIFIED_WITH_PENDING_VISUAL,1,1,,True,structured_recovered
SRC-000006,pending-normalization,"A Sporadic Journal of Activities, Spells, and Words",,1NsgsMSkTOIc5JUlZMPAKcWWS06rc08aH,25,visually_inspected,All 25 PDF pages rendered,book/PDF,modern eclectic ritual workbook,2 principal families,2026-07-27,ABRACADABRA reduction seal and eight-card color telepathy family.,VERIFIED,2,1,,True,structured_recovered
SRC-000007,pending-normalization,A True History of Witchcraft,,1d5GlEN4DZ9Svn05d3E4EwU0Uyxyz3Bsp,24,visually_inspected/text_only_reference,All 24 pages checked,book/PDF,historical witchcraft narrative,none,2026-07-27,No discrete operative symbol-bearing figure; text-only historical context retained.,VERIFIED,2,1,,True,structured_recovered
SRC-000008,pending-normalization,A Witch’s Beverages and Brews,,1hMMDag39Krzj1vhilsbrbxfKS89woBfd,216,visually_inspected/text_only_reference,216-page image inventory checked,book/PDF,modern witchcraft beverage manual,none,2026-07-27,Cover/title decoration excluded; text-only vessel and correspondence evidence retained.,VERIFIED,2,1,,True,structured_recovered
SRC-000009,pending-normalization,Baphomet Magie,Walter Jantschik,1pQ-XVE2zMMPTloh5e7rFqMc31mO-0UNo,89,visually_inspected,German-language modern instructional source visually inspected,book/PDF,modern Baphomet instructional sigil corpus,4 provisional families,2026-07-27,"Thirteen verified figure groups; modern instructional figures, not ancient artifacts.",VERIFIED,2,1,,True,structured_recovered
SRC-000010,pending-normalization,Buckland’s Book of Saxon Witchcraft,Raymond Buckland,1JaTuUf8UuqoX11f3A9kT1as9Jbs4qc_N,88,visually_inspected,Raw scan reviewed despite absent searchable text,book/PDF,Seax-Wica and comparative alphabet/rune material,alphabet and rune families,2026-07-27,Fourteen verified figure/alphabet groups; non-operative informational graphics excluded.,VERIFIED,2,1,,True,structured_recovered
SRC-000011,pending-normalization,Ceremonial Magick and Evocation,Joseph C. Lisiewski,1kbM2qIi72gRVVZ73lsYK436pQuR33HCF,106,visually_inspected,Visual figure screening complete,book/PDF,ceremonial magic / Heptameron-derived,3 principal families,2026-07-27,Nine figure groups; fixed geometry with replaceable payload is a candidate only.,VERIFIED,2,1,,True,structured_recovered
SRC-000012,pending-normalization,Creating Magickal Entities,David Michael Cunningham with Taylor Ellwood and Amanda R. Wagener,1-zvbxwQ8byyUG_M4KSuPUSkSn4kpMBLn,82,visually_inspected,Visual figure and process screening complete,book/PDF,modern entity-programming symbol methods,3 construction families,2026-07-27,Five verified figure/process groups; harmful operational details excluded.,VERIFIED,2,1,,True,structured_recovered
SRC-000013,pending-normalization,13 Herbs for a Witchs Cabinet,Unattributed personal compilation,1h7sE4nOGKg8IbVigQpoQllCY8PlTj49L,4,visually_inspected/text_only_reference,All 4 pages rendered,book/PDF,modern herbal correspondence guide,none,2026-07-27,"No images, diagrams, or operative symbol plates.",VERIFIED,3,1,,True,structured_recovered
SRC-000014,pending-normalization,A Book of Shadows,Unattributed personal compilation,1FIGVhtfS_PA1IaJ8B69qdOly3dbtdxUB,168,visually_inspected/text_only_reference,All 168 pages rendered,book/PDF,modern Book of Shadows / ritual manual,none,2026-07-27,No discrete operative diagram; text-only process groups retained.,VERIFIED,3,1,,True,structured_recovered
SRC-000015,pending-normalization,A Brief History of Wicca,Sally Morningstar and Peter Mills,1rAHWD0wz2IGi-A_tjrsr0IKx60VBqgAn,7,visually_inspected,All 7 pages rendered,book/PDF,modern Wiccan history,historical artifact reproductions,2026-07-27,Two representational historical-image reproductions; zero operative symbol families.,VERIFIED,3,1,,True,structured_recovered
SRC-000016,pending-normalization,A Further Guide for the Solitary Practitioner,,1f1DAXe4FGFbICZqqEnZ8eGeblu7eNQ2w,216,visually_inspected,All 216 pages rendered,book/PDF,modern Wiccan instructional corpus,approximately 8 principal families,2026-07-27,"Layouts, deity signs, shorthand, and rune plates; repeats preserved and lineage-adjusted.",VERIFIED,3,1,,False,trusted_source_catalog_only
SRC-000017,pending-normalization,A modern approach to a medieval Magickal Art,,1hsgzJOwZu_R7iUDFwU2gBW1wW7jkNbgt,6,visually_inspected/text_only_reference,All 6 pages rendered,book/PDF,modern sigil-practice essay,none,2026-07-27,No figures or symbol plates; text-only references retained.,VERIFIED,3,1,,False,trusted_source_catalog_only
SRC-000018,pending-normalization,A Modern Goetic Grimoire,,1iaEwl8PMStohIIC-WJpOpkMg8NUyncBI,157,visually_inspected,All 157 pages rendered,book/PDF,modern Goetic/Lemegeton instructional corpus,7 principal families; 72 seals in one corpus lineage,2026-07-28,"Ritual figures, Solomonic witnesses, and 72 distinct seal observations under one inherited corpus lineage.",VERIFIED,4,1,,False,trusted_source_catalog_only
SRC-000019,pending-normalization,A New Walk Down An Old Path,,1Sx8KBQ0jshJu1c-Gd0KoLM4L5Hbyyqx1,128,duplicate_file/visually_inspected,Duplicate witness inspected through identical content,book/PDF,modern eclectic pathworking manual,exact duplicate of 3rd Edition,2026-07-28,Byte-identical to the file labeled 3rd Edition.,VERIFIED,4,1,,False,trusted_source_catalog_only
SRC-000020,pending-normalization,A New Walk Down An Old Path [2nd Edition],,1Yuj9IvqU0vX7fswktuSx_JFQQX3bmdK6,71,visually_inspected/text_only_reference,All 71 pages rendered,book/PDF,modern eclectic pathworking manual,distinct revision,2026-07-28,No discrete operative symbol-bearing diagrams; four text-only observations.,VERIFIED,4,1,,False,trusted_source_catalog_only
SRC-000021,pending-normalization,A New Walk Down An Old Path [3rd Edition],,14KVpDC3OpCo-NyeiExn_qoIRhg4YlXHM,,exact_duplicate_file,Exact duplicate identified by SHA-256,book/PDF,modern eclectic pathworking manual,exact duplicate of base edition,2026-07-28,SHA-256 cb1acb29ee8943a640ce4158816095be5b54e1810c1908490b61ca3814dc2755.,VERIFIED,4,1,,False,trusted_source_catalog_only
SRC-000022,pending-normalization,A Practical Guide to Witchcraft and Magic Spells,,1UZyJXgDl6uvxM28TjKCRvidVqhGrVicl,283,visually_inspected,All 283 pages rendered and screened,book/PDF,modern witchcraft and magic-spell manual,5 lineage-adjusted geometry families,2026-07-28,Six verified visual instances and eight-plus text-only/context records.,VERIFIED,5,1,,False,trusted_source_catalog_only
