classification,observation_count
documentary_nonoperative_symbol,1
historical_artifact_reproduction,2
historical_textual_context,2
text_only_candidate,13
text_only_context,1
text_only_process,2
textual_correspondence_framework,2
textual_natural_form_attribution,1
textual_shape_correspondence,2
textual_symbolic_attribution,2
textual_symbolic_attribution_group,1
verified_visual_alphabet_table,4
verified_visual_body_map,1
verified_visual_calendar_wheel,1
verified_visual_composite,1
verified_visual_construction_grid,1
verified_visual_device_schematic,1
verified_visual_divination_layout,1
verified_visual_emblem,1
verified_visual_family,1
verified_visual_group,12
verified_visual_pentacle,1
verified_visual_process,1
verified_visual_programming_symbol,2
verified_visual_ritual_layout,1
verified_visual_rune_table,3
verified_visual_script_table,1
verified_visual_stemline_script,1
verified_visual_symbol_set,1
verified_visual_template,1
verified_visual_template_instance,7
