meaning_id,label,description,claim_scope,tradition,source_claim_ids,observation_ids,geometry_ids,supports,contradictions,confidence,status,classification,notes,created_on,supersedes_id
MEAN-000001,initiation or admission into a circle,Circle language denotes entry into an initiated religious group and receipt of esoteric learning in a quoted Gardner claim.,single-source quoted claim,modern Wiccan historiography,"[""CLM-000001""]","[""OBS-000016""]",[],,,0.9,provisional_source_scoped,historical_text_only,Not a universal circle meaning and not geometric evidence.,2026-07-28,
MEAN-000002,female component of deity,The source attributes this symbolic meaning to Isis within an occultist interpretive framework.,single-source authorial attribution,modern occult historiography,"[""CLM-000002""]","[""OBS-000017""]",[],,,0.9,provisional_source_scoped,historical_text_only,Meaning remains tied to this source's framework.,2026-07-28,
MEAN-000003,unconscious or repressed sexuality,"The source groups Pan, the Horned God, Set, and Satan under this symbolic interpretation.",single-source grouped authorial attribution,modern occult historiography,"[""CLM-000003""]","[""OBS-000018""]",[],,,0.88,provisional_source_scoped,historical_text_only,One grouped prose assertion; not four independent meaning witnesses.,2026-07-28,
MEAN-000004,balance between conscious and unconscious forces,The source says White and Black Pillars represent this balance in Freemasonry and High Magick.,single-source authorial attribution,Freemasonry and High Magick as summarized by the author,"[""CLM-000004""]","[""OBS-000019""]",[],,,0.94,provisional_source_scoped,historical_text_only,No pillar figure is shown in this source.,2026-07-28,
MEAN-000005,document authentication or witnessing,The referenced signature and seal authenticate or witness an OTO charter document.,single-source documentary context,Thelemic/OTO documentary history,"[""CLM-000005""]","[""OBS-000020""]",[],,,0.98,active_contextual,documentary_nonoperative,Excluded from operative magical-geometry correlations.,2026-07-28,
MEAN-000006,poison protection and treachery detection,Norse stories in the source attribute protective and warning functions to runes carved into drinking cups.,single-source legendary attribution,Norse legend as reported in a modern witchcraft beverage manual,"[""CLM-000007""]","[""OBS-000021""]",[],,,0.94,provisional_source_scoped,historical_text_only,No rune forms are shown; the attribution remains tied to the source's retelling.,2026-07-28,
MEAN-000007,Goddess alignment through womb-like vessel shape,The source associates cups with the Goddess because of their womb-like shape.,single-source authorial correspondence,modern eclectic witchcraft correspondence system,"[""CLM-000008""]","[""OBS-000022""]",[],,,0.98,provisional_source_scoped,textual_shape_correspondence,No vessel drawing is shown.,2026-07-28,
MEAN-000008,God alignment through squared vessel shape,The source recommends squared-off drinking vessels for stronger alignment with the God aspect.,single-source authorial correspondence,modern eclectic witchcraft correspondence system,"[""CLM-000009""]","[""OBS-000022""]",[],,,0.98,provisional_source_scoped,textual_shape_correspondence,The source does not link squared vessels to Earth in this passage.,2026-07-28,
MEAN-000009,balance and symmetry through complementary form,The source recommends equal ingredient measures and optionally a yin/yang-styled cup to reinforce balance and symmetry.,single-source authorial correspondence,modern eclectic witchcraft correspondence system,"[""CLM-000010""]","[""OBS-000023""]",[],,,0.98,provisional_source_scoped,textual_shape_correspondence,No yin-yang vessel image is present.,2026-07-28,
MEAN-000010,fourfold seasonal elemental directional framework,"The source maps Spring/Air/East/dawn, Summer/Fire/South/noon, Fall/Water/West/dusk, and Winter/Earth/North/midnight.",single-source four-part correspondence framework,modern eclectic witchcraft correspondence system,"[""CLM-000011"",""CLM-000012"",""CLM-000013"",""CLM-000014""]","[""OBS-000024""]",[],,,0.99,provisional_source_scoped,textual_correspondence_framework,The four tuples are one framework and are not independent tradition witnesses.,2026-07-28,
MEAN-000011,divination creativity and Air through pentagram-like natural form,The source uses sliced star fruit in an Air-associated recipe and explicitly likens its natural shape to a pentagram.,single-source natural-form attribution,modern eclectic witchcraft recipe symbolism,"[""CLM-000015""]","[""OBS-000025""]",[],,,0.98,provisional_source_scoped,textual_natural_form_attribution,No star-fruit image or measured geometry is present.,2026-07-28,
