claim_id,record_type,source_id,observation_ids,subject,predicate,object,authorial_framework,classification,inspection_basis,supports_ids,contradicts_ids,supersedes_id,independence_weight,confidence,status,created_on,notes,batch,provenance_ref
CLM-000001,source_claim,SRC-000007,"[""OBS-000016""]",circle language,is used for,initiation or admission into a claimed priestly lineage,quoted Gardner claim inside the author's historical-critical discussion,historical_secondary_source,24-page visual recheck plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,"The claim records usage of language, not proof of ancient continuity.",2,PDF page 3 / printed page 4
CLM-000002,source_claim,SRC-000007,"[""OBS-000017""]",Isis,is described as symbolizing,the long-denied female component of deity,author's summary of an occultist viewpoint,historical_secondary_source,24-page visual recheck plus direct text extraction,[],[],,1,0.98,active_contextual,2026-07-28,Source-scoped semantic attribution only.,2,PDF page 10 / printed page 11
CLM-000003,source_claim,SRC-000007,"[""OBS-000018""]","Pan, the Horned God, Set, and Satan",are described as symbolizing,unconscious or repressed sexuality,author's summary of an occultist viewpoint,historical_secondary_source,24-page visual recheck plus direct text extraction,[],[],,0.25,0.98,active_contextual,2026-07-28,One grouped statement; independence weight reduced.,2,PDF page 10 / printed page 11
CLM-000004,source_claim,SRC-000007,"[""OBS-000019""]",White and Black Pillars,are described as representing,balance between conscious and unconscious forces,author's summary of Freemasonry and High Magick symbolism,historical_secondary_source,24-page visual recheck plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,No visual pillar geometry appears in this source.,2,PDF page 10 / printed page 11
CLM-000005,source_claim,SRC-000007,"[""OBS-000020""]",signature and seal on the referenced OTO charter,function as,document authentication or witnessing,author's documentary-historical discussion,documentary_context,24-page visual recheck plus direct text extraction,[],[],,1,0.99,active_nonoperative,2026-07-28,Explicitly excluded from operative symbol correlations.,2,PDF pages 15-16 / printed pages 16-17
CLM-000006,contradiction,SRC-000007,"[""OBS-000016""]",modern Wicca,is a direct lineal survival of,an ancient or prehistoric worldwide religion,author's historical-critical argument,historical_secondary_source_argument,24-page visual recheck plus direct text extraction,[],[],,1,0.9,active_contextual,2026-07-28,The source documents and challenges continuity claims; no existing corpus claim ID yet represents the target assertion.,2,PDF pages 3-4 / printed pages 4-5
CLM-000007,source_claim,SRC-000008,"[""OBS-000021""]",runes carved into drinking cups,are said to,protect the bearer from poisoning and reveal treachery by shattering the cup or changing the beverage color,Norse legend as reported by the author,historical_legendary_attribution,216-page visual review plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,"The source labels this as a Norse legendary example, not a visually documented artifact.",2,PDF page 32 / printed page 34
CLM-000008,source_claim,SRC-000008,"[""OBS-000022""]",cups with a womb-like shape,are described as representing,the Goddess aspect,author's modern eclectic correspondence system,authorial_correspondence_claim,216-page visual review plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,No vessel image is shown.,2,PDF page 33 / printed page 35
CLM-000009,source_claim,SRC-000008,"[""OBS-000022""]",squared-off drinking vessels,are recommended for,stronger alignment with the God aspect,author's modern eclectic correspondence system,authorial_correspondence_claim,216-page visual review plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,The passage does not assign Earth to squared vessels.,2,PDF page 33 / printed page 35
CLM-000010,source_claim,SRC-000008,"[""OBS-000023""]",a yin/yang-styled cup and equal ingredient measures,are suggested to reinforce,balance and symmetry,author's modern eclectic correspondence system,authorial_correspondence_claim,216-page visual review plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,No yin-yang cup is pictured.,2,PDF page 63 / printed page 68
CLM-000011,source_claim,SRC-000008,"[""OBS-000024""]",Spring,corresponds to,"Air, East, and dawn",author's four-season correspondence framework,authorial_correspondence_framework,216-page visual review plus direct text extraction,[],[],,0.25,0.99,active_contextual,2026-07-28,One of four tuples in a single source framework.,2,PDF page 99 / printed page 104
CLM-000012,source_claim,SRC-000008,"[""OBS-000024""]",Summer,corresponds to,"Fire, South, and noon",author's four-season correspondence framework,authorial_correspondence_framework,216-page visual review plus direct text extraction,[],[],,0.25,0.99,active_contextual,2026-07-28,One of four tuples in a single source framework.,2,PDF page 101 / printed page 106
CLM-000013,source_claim,SRC-000008,"[""OBS-000024""]",Fall,corresponds to,"Water, West, and dusk",author's four-season correspondence framework,authorial_correspondence_framework,216-page visual review plus direct text extraction,[],[],,0.25,0.99,active_contextual,2026-07-28,One of four tuples in a single source framework.,2,PDF page 102 / printed page 107
CLM-000014,source_claim,SRC-000008,"[""OBS-000024""]",Winter,corresponds to,"Earth, North, and midnight",author's four-season correspondence framework,authorial_correspondence_framework,216-page visual review plus direct text extraction,[],[],,0.25,0.99,active_contextual,2026-07-28,One of four tuples in a single source framework.,2,PDF page 104 / printed page 109
CLM-000015,source_claim,SRC-000008,"[""OBS-000025""]",sliced star fruit,is described as naturally bearing,the shape of a magical pentagram,author's recipe symbolism,authorial_natural_form_claim,216-page visual review plus direct text extraction,[],[],,1,0.99,active_contextual,2026-07-28,"The recipe is associated with divination, prophecy, creativity, and Air-related magic; no image is shown.",2,PDF page 132 / printed page 137
CLM-000016,correction,SRC-000008,"[""OBS-000022"",""OBS-000024""]",the Batch 002 checkpoint phrase 'squared vessels associated with Earth/God aspects',conflates,"two separate source statements: squared vessels align with the God aspect, while Earth is paired with Winter and North",fresh source-level recheck against the checkpoint summary,checkpoint_correction,216-page visual review plus direct text extraction,[],[],,1,1,active_correction,2026-07-28,The correction is additive and preserves the original checkpoint wording for audit history.,2,PDF pages 33 and 104 / printed pages 35 and 109
CLM-000017,source_claim,SRC-000009,"[""OBS-000026""]",Qabala Baphometa activation sigil,is presented as,an activation or addressing sign for the Qabala Baphometa/Kylkhor system,author's modern instructional system,modern_instructional_visual_claim,89-page visual recheck plus targeted German text review,[],[],,0.125,0.99,active_contextual,2026-07-28,The nearby 72-force claim is textual and not treated as visible numerology.,2,PDF page 31 / printed page 31
