checkpoint_id,authoritative_through_batch,last_verified_source_id,next_resume_title,next_resume_file_id,trusted_source_count,pending_visual_count,invalidated_from_batch,database_reconciled,exports_validated,automation_status,control_doc_id,checkpoint_doc_id,verification_log_id,completed_audit_id,updated_on
CHK-000001,5,1UZyJXgDl6uvxM28TjKCRvidVqhGrVicl,A Study in Universal Eclectic Wiccan Tradition II,,22,5,6,False,False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000002,5,SRC-000022,A Study in Universal Eclectic Wiccan Tradition II,,22,5,6,PARTIAL: SOURCES NORMALIZED; BATCH 001 OBSERVATIONS RECOVERED,False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000003,5,SRC-000022,Observation recovery next: A True History of Witchcraft,1d5GlEN4DZ9Svn05d3E4EwU0Uyxyz3Bsp,22,5,6,PARTIAL: SOURCES NORMALIZED; OBSERVATIONS RECOVERED THROUGH SRC-000006,False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000004,5,SRC-000022,Observation recovery next: A Witch’s Beverages and Brews,1hMMDag39Krzj1vhilsbrbxfKS89woBfd,22,5,6,PARTIAL: SOURCES NORMALIZED; OBSERVATIONS RECOVERED THROUGH SRC-000007,False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000005,5,SRC-000022,Observation recovery next: Baphomet Magie,1pQ-XVE2zMMPTloh5e7rFqMc31mO-0UNo,22,5,6,PARTIAL: SOURCES NORMALIZED; OBSERVATIONS RECOVERED THROUGH SRC-000008,False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000006,5,SRC-000022,Observation recovery next: Buckland’s Book of Saxon Witchcraft,1JaTuUf8UuqoX11f3A9kT1as9Jbs4qc_N,22,5,6,"PARTIAL: SOURCES NORMALIZED; OBSERVATIONS, LINEAGES, AND GEOMETRY RECOVERED THROUGH SRC-000009",False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000007,5,SRC-000022,Observation recovery next: Ceremonial Magick and Evocation,1kbM2qIi72gRVVZ73lsYK436pQuR33HCF,22,5,6,"PARTIAL: SOURCES NORMALIZED; OBSERVATIONS, LINEAGES, AND GEOMETRY RECOVERED THROUGH SRC-000010",False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000008,5,SRC-000022,Observation recovery next: Creating Magickal Entities,1-zvbxwQ8byyUG_M4KSuPUSkSn4kpMBLn,22,5,6,"PARTIAL: SOURCES NORMALIZED; OBSERVATIONS, LINEAGES, AND GEOMETRY RECOVERED THROUGH SRC-000011",False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000009,5,SRC-000022,Observation recovery next: 13 Herbs for a Witchs Cabinet,1h7sE4nOGKg8IbVigQpoQllCY8PlTj49L,22,5,6,"PARTIAL: SOURCES NORMALIZED; OBSERVATIONS, LINEAGES, AND GEOMETRY RECOVERED THROUGH SRC-000012",False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000010,5,SRC-000022,Observation recovery next: A Book of Shadows,1FIGVhtfS_PA1IaJ8B69qdOly3dbtdxUB,22,5,6,PARTIAL: SOURCES NORMALIZED; STRUCTURED RECOVERY COMPLETE THROUGH SRC-000013,False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
CHK-000011,5,SRC-000022,Observation recovery next: A Brief History of Wicca,1rAHWD0wz2IGi-A_tjrsr0IKx60VBqgAn,22,5,6,PARTIAL: SOURCES NORMALIZED; STRUCTURED RECOVERY COMPLETE THROUGH SRC-000014,False,PAUSED,1rH-uB-AwimTgYiVGutBKywUEjS1N_QDe4IvJSD-kZo4,16pUsP4DzhffM93jDlwtHFAClrlZ-AItMU1ADL_NZCi4,1IBG9jGYCM_Uxc5KL_KU4_3KGOGHsWZvindEfKpImhkI,1gvM98UpI9TpUgDl_45DALbhYbQR2mY1Wg-ovGS1lfsY,2026-07-28
