lineage_id,name,parent_lineage_id,tradition,source_scope,independence_group,duplicate_family,provenance_type,evidence_status,raw_instance_count,lineage_adjusted_count,first_source_id,notes,created_on,supersedes_id
LIN-000001,Modern cursive-angular Baphomet sigil grammar,,modern German Baphomet instructional magic,SRC-000009,SRC-000009-authorial-corpus,BAPHOMET-MODERN-CURSIVE-ANGULAR,modern instructional figures; likely authorial designs or modern redraws,visually_inspected,8,1,SRC-000009,"Groups OBS-000026, 027, 029, 030, 033, 035, 036, and 037. Shared handwriting-like grammar prevents eight examples from counting as independent traditions.",2026-07-28,
LIN-000002,Circle-band sigil sequences,,modern German Baphomet instructional magic,SRC-000009,SRC-000009-authorial-corpus,BAPHOMET-CIRCLE-BAND-SEQUENCES,modern instructional circle-band encoding,visually_inspected,3,1,SRC-000009,"Groups OBS-000028, 032, and 034. Double/triple circle contexts differ, but the sequence grammar is one source family.",2026-07-28,
LIN-000003,Conventional magical-symbol row,,modern German Baphomet instructional magic,SRC-000009,SRC-000009-authorial-corpus,BAPHOMET-CONVENTIONAL-SYMBOL-SET,modern compilation of conventional occult glyphs,visually_inspected,1,1,SRC-000009,"One horizontal reference row. Individual glyphs may have older lineages, but this source does not establish those provenances independently.",2026-07-28,
LIN-000004,Sigil-machine device schematic,,modern German Baphomet instructional magic,SRC-000009,SRC-000009-authorial-corpus,BAPHOMET-SIGIL-MACHINE-SCHEMATIC,modern hybrid technical-occult schematic,visually_inspected,1,1,SRC-000009,One device-network figure. Kept separate from abstract sigils because its topology is technical and component-based.,2026-07-28,
LIN-000005,Seax-Wica emblem lineage,,modern Seax-Wica,SRC-000010,SRC-000010-authorial-corpus,SEAX-WICA-EMBLEM,modern authorial emblem,visually_inspected,1,1,SRC-000010,"Frontispiece emblem combining Sun, Moon, and eight-Sabbat symbolism. Not an ancient Saxon artifact.",2026-07-28,
LIN-000006,Seax-Wica circular ritual and calendrical diagrams,,modern Seax-Wica,SRC-000010,SRC-000010-authorial-corpus,SEAX-WICA-CIRCULAR-LAYOUTS,modern instructional diagrams,visually_inspected,2,1,SRC-000010,"Groups OBS-000041 and OBS-000042. Shared circular-field grammar, but altar placement and calendar wheel remain distinct geometry families.",2026-07-28,
LIN-000007,Seax-Wica instructional process diagrams,,modern Seax-Wica,SRC-000010,SRC-000010-authorial-corpus,SEAX-WICA-PROCESS-DIAGRAMS,modern instructional diagrams,visually_inspected,2,1,SRC-000010,Groups OBS-000043 and OBS-000044. One authorial family spanning construction/body mapping and directed divination layout.,2026-07-28,
LIN-000008,Saxon and Anglo-Saxon Futhorc lineage,,Saxon/Anglo-Saxon runic tradition as reproduced in modern Seax-Wica,SRC-000010,FUTHORC-SOURCE-LINEAGE,SAXON-ANGLOSAXON-FUTHORC,modern reproductions of inherited rune tables,visually_inspected,2,1,SRC-000010,Early Saxon table and appendix Anglo-Saxon comparative table are two visual witnesses in one broad lineage.,2026-07-28,
LIN-000009,Theban alphabet lineage,,Theban magical alphabet,SRC-000010,MAGICAL-ALPHABET-SOURCE-PLATE,THEBAN-ALPHABET,modern reproduction of inherited magical alphabet,visually_inspected,1,1,SRC-000010,Named lineage preserved; historical provenance requires independent corroboration.,2026-07-28,
LIN-000010,Passing the River alphabet lineage,,Passing the River magical alphabet,SRC-000010,MAGICAL-ALPHABET-SOURCE-PLATE,PASSING-THE-RIVER-ALPHABET,modern reproduction of inherited magical alphabet,visually_inspected,1,1,SRC-000010,One of three parallel Hebrew-letter magical-script columns.,2026-07-28,
